file_base,bacteria,virus,exp
6029_001_S1,NB,FALSE,A
6029_005_S5,NB,TRUE,A
6029_003_S3,Spn,FALSE,A
6029_007_S7,Spn,TRUE,A
6029_004_S4,Hin,FALSE,A
6029_008_S8,Hin,TRUE,A
6029_002_S2,Dpi,FALSE,A
6029_006_S6,Dpi,TRUE,A
6029_025_S25,NB,FALSE,B
6029_029_S29,NB,TRUE,B
6029_027_S27,Spn,FALSE,B
6029_031_S31,Spn,TRUE,B
6029_028_S28,Hin,FALSE,B
6029_032_S32,Hin,TRUE,B
6029_026_S26,Dpi,FALSE,B
6029_030_S30,Dpi,TRUE,B
6029_017_S17,NB,FALSE,C
6029_021_S21,NB,TRUE,C
6029_019_S19,Spn,FALSE,C
6029_023_S23,Spn,TRUE,C
6029_020_S20,Hin,FALSE,C
6029_024_S24,Hin,TRUE,C
6029_018_S18,Dpi,FALSE,C
6029_022_S22,Dpi,TRUE,C
