locus_tag	Regulator
SAUSA300_RS00045	CcpA
SAUSA300_RS00065	CodY
SAUSA300_RS00105	Rex
SAUSA300_RS00165	MecI
SAUSA300_RS00170	MecI
SAUSA300_RS00325	ArgR
SAUSA300_RS00330	ArcR!!!ArgR!!!CcpA!!!Rex
SAUSA300_RS00585	CcpA
SAUSA300_RS00605	Fur
SAUSA300_RS00610	Fur
SAUSA300_RS00670	CodY
SAUSA300_RS00705	CodY
SAUSA300_RS00800	Rex
SAUSA300_RS00805	CodY
SAUSA300_RS00845	CodY
SAUSA300_RS00895	CcpA
SAUSA300_RS00910	CodY!!!CymR
SAUSA300_RS00980	ArgR
SAUSA300_RS00985	CodY
SAUSA300_RS00995	CcpA
SAUSA300_RS01005	CcpA
SAUSA300_RS01010	CcpA!!!MurR
SAUSA300_RS01055	CymR
SAUSA300_RS01130	SaeR
SAUSA300_RS01135	CcpA
SAUSA300_RS01155	CcpA!!!Rex
SAUSA300_RS01180	SaeR
SAUSA300_RS01205	CcpA
SAUSA300_RS01215	CcpA
SAUSA300_RS01250	Rex
SAUSA300_RS01260	NanR
SAUSA300_RS01375	BglR
SAUSA300_RS01380	BglR
SAUSA300_RS01415	CcpA
SAUSA300_RS01625	Rex
SAUSA300_RS01630	CodY
SAUSA300_RS01660	CcpA
SAUSA300_RS01680	CcpA!!!NanR
SAUSA300_RS01685	CcpA!!!NanR
SAUSA300_RS01690	NanR
SAUSA300_RS01695	NanR
SAUSA300_RS01700	HutR
SAUSA300_RS01775	MepR
SAUSA300_RS01780	MepR
SAUSA300_RS01790	CcpA
SAUSA300_RS01825	Fur
SAUSA300_RS01845	Fur
SAUSA300_RS01915	CodY
SAUSA300_RS01970	SaeR
SAUSA300_RS02025	PerR
SAUSA300_RS02030	CodY
SAUSA300_RS02035	CodY!!!CymR
SAUSA300_RS02150	SaeR
SAUSA300_RS02160	SaeR
SAUSA300_RS02185	SaeR
SAUSA300_RS02200	SaeR
SAUSA300_RS02270	Zur
SAUSA300_RS02315	HisR
SAUSA300_RS02320	CymR
SAUSA300_RS02330	CymR
SAUSA300_RS02375	CodY!!!GltC
SAUSA300_RS02380	CodY!!!GltC
SAUSA300_RS02395	CcpA
SAUSA300_RS02635	CymR
SAUSA300_RS02710	CcpA
SAUSA300_RS02860	CcpA
SAUSA300_RS02870	CcpA
SAUSA300_RS02875	CcpA
SAUSA300_RS02880	CodY
SAUSA300_RS02985	BirA
SAUSA300_RS03190	Rex
SAUSA300_RS03325	MntR
SAUSA300_RS03390	CodY
SAUSA300_RS03395	Fur
SAUSA300_RS03410	CcpA
SAUSA300_RS03525	CodY
SAUSA300_RS03665	CcpA!!!FruR
SAUSA300_RS03720	SaeR
SAUSA300_RS03825	CodY
SAUSA300_RS03835	LexA
SAUSA300_RS03840	NrdR
SAUSA300_RS03865	Fur
SAUSA300_RS04000	LexA
SAUSA300_RS04075	CggR
SAUSA300_RS04235	CodY
SAUSA300_RS04255	Fur
SAUSA300_RS04270	CcpA
SAUSA300_RS04395	SaeR
SAUSA300_RS04410	PerR
SAUSA300_RS04430	PerR
SAUSA300_RS04570	HisR
SAUSA300_RS04580	Zur
SAUSA300_RS04640	ArgR!!!CcpA
SAUSA300_RS04645	CcpA
SAUSA300_RS04665	ArgR!!!CodY
SAUSA300_RS04770	FapR
SAUSA300_RS04785	CodY
SAUSA300_RS04810	CodY
SAUSA300_RS04905	FapR
SAUSA300_RS04915	CodY
SAUSA300_RS04925	CcpA
SAUSA300_RS04985	CodY
SAUSA300_RS04990	CodY
SAUSA300_RS05115	CodY
SAUSA300_RS05410	MntR
SAUSA300_RS05455	CodY
SAUSA300_RS05535	Fur
SAUSA300_RS05540	Fur
SAUSA300_RS05545	Fur
SAUSA300_RS05635	CcpA
SAUSA300_RS05670	SaeR
SAUSA300_RS05690	SaeR
SAUSA300_RS05720	CcpA!!!SaeR
SAUSA300_RS06065	FapR
SAUSA300_RS06370	LexA
SAUSA300_RS06435	CcpA
SAUSA300_RS06480	CodY!!!GlnR
SAUSA300_RS06635	CcpA
SAUSA300_RS06640	CodY
SAUSA300_RS06645	CodY
SAUSA300_RS06675	CodY
SAUSA300_RS06680	CodY!!!PerR
SAUSA300_RS06685	Zur
SAUSA300_RS06690	Zur
SAUSA300_RS06710	LexA
SAUSA300_RS06745	LexA
SAUSA300_RS06765	CcpA!!!Fur
SAUSA300_RS06785	LexA
SAUSA300_RS06840	LexA
SAUSA300_RS06845	CodY
SAUSA300_RS06855	CodY
SAUSA300_RS06990	CodY
SAUSA300_RS06995	CodY
SAUSA300_RS07250	CodY
SAUSA300_RS07255	Rex
SAUSA300_RS07380	CodY
SAUSA300_RS07395	CodY
SAUSA300_RS07545	SaeR
SAUSA300_RS07875	Rex
SAUSA300_RS07955	CcpA!!!MalR
SAUSA300_RS08020	ArgR
SAUSA300_RS08055	FapR
SAUSA300_RS08155	CodY
SAUSA300_RS08160	CodY
SAUSA300_RS08260	CodY
SAUSA300_RS08275	Zur
SAUSA300_RS08405	HrcA
SAUSA300_RS08540	CcpA
SAUSA300_RS08955	CcpA
SAUSA300_RS08980	CcpA
SAUSA300_RS09035	CcpA
SAUSA300_RS09110	CodY
SAUSA300_RS09165	CcpA
SAUSA300_RS09170	CcpA!!!CodY
SAUSA300_RS09175	CcpA!!!CodY
SAUSA300_RS09185	CcpA
SAUSA300_RS09350	CcpA
SAUSA300_RS09380	ArsR
SAUSA300_RS09470	CcpA
SAUSA300_RS09620	SaeR
SAUSA300_RS09630	CcpA!!!SaeR
SAUSA300_RS09685	SaeR
SAUSA300_RS09760	PerR
SAUSA300_RS09895	ArgR!!!CodY
SAUSA300_RS10060	FapR!!!PerR
SAUSA300_RS10070	PerR
SAUSA300_RS10250	Fur!!!PerR
SAUSA300_RS10305	CcpA
SAUSA300_RS10330	HisR
SAUSA300_RS10385	CcpA
SAUSA300_RS10420	LexA
SAUSA300_RS10475	YtrA
SAUSA300_RS10490	LexA
SAUSA300_RS10505	CodY
SAUSA300_RS10525	SaeR
SAUSA300_RS10540	SaeR
SAUSA300_RS10850	SaeR
SAUSA300_RS10865	Fur
SAUSA300_RS10905	HrcA
SAUSA300_RS10935	CodY
SAUSA300_RS10965	ScrR
SAUSA300_RS10970	CcpA
SAUSA300_RS10975	CodY!!!GlnR
SAUSA300_RS10985	CymR
SAUSA300_RS11035	CodY
SAUSA300_RS11445	CcpA
SAUSA300_RS11490	CodY
SAUSA300_RS11495	CymR
SAUSA300_RS11515	CcpA
SAUSA300_RS11525	PerR
SAUSA300_RS11605	MtlR
SAUSA300_RS11645	CcpA
SAUSA300_RS11735	CcpA!!!LexA
SAUSA300_RS11740	CcpA
SAUSA300_RS11760	Fur
SAUSA300_RS11780	Fur
SAUSA300_RS11785	Fur
SAUSA300_RS11905	CodY
SAUSA300_RS12330	BirA
SAUSA300_RS12340	Fur
SAUSA300_RS12345	CymR
SAUSA300_RS12490	CcpA
SAUSA300_RS12515	CcpA!!!CodY
SAUSA300_RS12540	CodY
SAUSA300_RS12550	CcpA!!!GlvR
SAUSA300_RS12555	CcpA
SAUSA300_RS12590	CcpA!!!HutR
SAUSA300_RS12595	HutR
SAUSA300_RS12660	CcpA
SAUSA300_RS12780	Rex
SAUSA300_RS12810	Fur
SAUSA300_RS12845	CcpA!!!ScrR
SAUSA300_RS12890	NreC!!!Rex
SAUSA300_RS12935	NreC!!!Rex
SAUSA300_RS12955	NreC!!!Rex
SAUSA300_RS12980	Zur
SAUSA300_RS13025	CymR
SAUSA300_RS13030	Zur
SAUSA300_RS13060	SaeR
SAUSA300_RS13075	SaeR
SAUSA300_RS13110	BirA
SAUSA300_RS13180	CcpA!!!CodY
SAUSA300_RS13225	CodY
SAUSA300_RS13245	CodY
SAUSA300_RS13375	CodY
SAUSA300_RS13380	CodY
SAUSA300_RS13425	Rex
SAUSA300_RS13555	CcpA!!!GntR
SAUSA300_RS13580	CcpA
SAUSA300_RS13615	CcpA
SAUSA300_RS13655	Rex
SAUSA300_RS13660	Rex
SAUSA300_RS13710	CcpA
SAUSA300_RS13790	CcpA
SAUSA300_RS13795	CcpA
SAUSA300_RS13820	Fur
SAUSA300_RS13840	CcpA
SAUSA300_RS13870	CodY
SAUSA300_RS13990	Zur
SAUSA300_RS14085	CodY
SAUSA300_RS14090	CodY
SAUSA300_RS14155	ArgR
SAUSA300_RS14175	NrdR
SAUSA300_RS14195	CymR
SAUSA300_RS14295	ArcR!!!ArgR!!!CcpA!!!Rex
SAUSA300_RS14310	CodY
SAUSA300_RS14325	CcpA
SAUSA300_RS14330	CcpA
SAUSA300_RS14450	IcaR
SAUSA300_RS14455	CodY!!!IcaR
