gene_callers_id	source	accession	function	e_value
0	prodigal	WP_001290433.1	chromosomal replication initiator protein DnaA (dnaA)	0
0	GENBANK_LOCUS_TAG	SAUSA300_RS00010	SAUSA300_RS00010	0
0	COG24_FUNCTION	COG0593	Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	0
0	COG24_CATEGORY	L	Replication, recombination and repair	0
0	KOfam	K02313	chromosomal replication initiator protein	5.6e-192
0	KEGG_BRITE	ko00001!!!ko00001!!!ko03032!!!ko03036	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Initiation Factors>>>Initiation factors (bacterial)!!!Chromosome and associated proteins>>>Prokaryotic type>>>Nucleoid associated proteins>>>Other nucleoid associated proteins	0.0
0	Pfam	PF00004.36	ATPase family associated with various cellular activities (AAA)	5.1e-08
0	Pfam	PF00308.25	Bacterial DnaA ATPAse domain	3.1e-76
0	Pfam	PF08299.18	Bacterial dnaA protein helix-turn-helix	1.6e-32
0	Pfam	PF11638.14	DnaA N-terminal domain	1.2e-08
0	Pfam	PF01695.24	IstB-like ATP binding protein	2.8e-07
1	prodigal	WP_000969811.1	DNA polymerase III subunit beta (dnaN)	0
1	GENBANK_LOCUS_TAG	SAUSA300_RS00015	SAUSA300_RS00015	0
1	COG24_FUNCTION	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)	3.6e-268
1	COG24_CATEGORY	L	Replication, recombination and repair	0
1	KOfam	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	2.1e-114
1	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko03032!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03030 DNA replication [PATH:ko03030]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.7  DNA-directed DNA polymerase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Elongation Factors>>>Elongation factors (bacterial)>>>DNA polymerase III holoenzyme!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>DNA polymerase III holoenzyme	0.0
1	Pfam	PF00712.25	DNA polymerase III beta subunit, N-terminal domain	1.5e-56
1	Pfam	PF02767.22	DNA polymerase III beta subunit, central domain	7.7e-49
1	Pfam	PF02768.21	DNA polymerase III beta subunit, C-terminal domain	3.4e-45
2	prodigal	WP_001789359.1	S4 domain-containing protein YaaA (yaaA)	0
2	GENBANK_LOCUS_TAG	SAUSA300_RS00020	SAUSA300_RS00020	0
2	COG24_FUNCTION	COG2501	Ribosome-associated RNA-binding protein YbcJ, S4-like RNA-binding protein (YbcJ) (PDB:1P9K) (PUBMED:36987847)	1.51e-51
2	COG24_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
2	KOfam	K14761	ribosome-associated protein	2.7e-22
2	KEGG_BRITE	ko03009	Ribosome biogenesis>>>Prokaryotic type>>>Other maturation factors	0.0
2	Pfam	PF13275.12	S4 domain	3.8e-21
3	prodigal	WP_000775114.1	DNA replication/repair protein RecF (recF)	0
3	GENBANK_LOCUS_TAG	SAUSA300_RS00025	SAUSA300_RS00025	0
3	COG24_FUNCTION	COG1195	Recombinational DNA repair ATPase RecF (RecF) (PDB:5Z67)	5.26e-262
3	COG24_CATEGORY	L	Replication, recombination and repair	0
3	KOfam	K03629	DNA replication and repair protein RecF	1.6e-121
3	KEGG_BRITE	ko00001!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>HR (homologous recombination)>>>RecFOR pathway proteins	0.0
3	Pfam	PF13175.13	AAA ATPase domain	6.9e-12
3	Pfam	PF13476.13	AAA domain	2.2e-08
3	Pfam	PF13514.13	AAA domain	8.8e-06
3	Pfam	PF02463.26	RecF/RecN/SMC N terminal domain	6e-19
4	prodigal	WP_000255586.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
4	GENBANK_LOCUS_TAG	SAUSA300_RS00030	SAUSA300_RS00030	0
4	COG24_FUNCTION	COG0187	DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)	0
4	COG24_CATEGORY	L	Replication, recombination and repair	0
4	KOfam	K02470	DNA gyrase subunit B [EC:5.6.2.2]	0
4	KEGG_BRITE	ko01000!!!ko03032!!!ko03400	Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.2  DNA topoisomerase (ATP-hydrolysing)!!!DNA replication proteins>>>Prokaryotic type>>>DNA Topoisomerases!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHIIR (short-homology-independent illegitimate recombination)>>>Facilitator	0.0
4	Pfam	PF00204.32	DNA gyrase B	4.2e-63
4	Pfam	PF00986.27	DNA gyrase B subunit, carboxyl terminus	1e-31
4	Pfam	PF02518.32	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	6e-18
4	Pfam	PF01751.29	Toprim domain	2.7e-19
5	prodigal	WP_000819066.1	DNA gyrase subunit A (gyrA)	0
5	GENBANK_LOCUS_TAG	SAUSA300_RS00035	SAUSA300_RS00035	0
5	COG24_FUNCTION	COG0188	DNA gyrase/topoisomerase IV, subunit A (GyrA) (PDB:1SUU)	0
5	COG24_CATEGORY	L	Replication, recombination and repair	0
5	KOfam	K02469	DNA gyrase subunit A [EC:5.6.2.2]	0
5	KEGG_BRITE	ko01000!!!ko03032!!!ko03400	Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.2  DNA topoisomerase (ATP-hydrolysing)!!!DNA replication proteins>>>Prokaryotic type>>>DNA Topoisomerases!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHIIR (short-homology-independent illegitimate recombination)>>>Facilitator	0.0
5	Pfam	PF03989.19	DNA gyrase C-terminal domain, beta-propeller	5.1e-79
5	Pfam	PF00521.27	DNA gyrase/topoisomerase IV, subunit A	2.1e-166
6	prodigal	WP_000449218.1	NAD(P)H-hydrate dehydratase	0
6	GENBANK_LOCUS_TAG	SAUSA300_RS00040	SAUSA300_RS00040	0
6	COG24_FUNCTION	COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain (NnrD) (PDB:1KYH) (PUBMED:21994945)	1.98e-193
6	COG24_CATEGORY	F	Nucleotide transport and metabolism	0
6	KOfam	K17758	ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	1.9e-89
6	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.1  Hydro-lyases>>>4.2.1.136  ADP-dependent NAD(P)H-hydrate dehydratase	0.0
6	Pfam	PF01256.23	NAD(P)H-hydrate dehydratase	8e-60
6	Pfam	PF08543.18	Phosphomethylpyrimidine kinase	8.2e-09
7	prodigal	WP_000177464.1	histidine ammonia-lyase (hutH)	0
7	GENBANK_LOCUS_TAG	SAUSA300_RS00045	SAUSA300_RS00045	0
7	COG24_FUNCTION	COG2986	Histidine ammonia-lyase (HutH) (PDB:1B8F)	0
7	COG24_CATEGORY	E	Amino acid transport and metabolism	0
7	KOfam	K01745	histidine ammonia-lyase [EC:4.3.1.3]	6.5e-217
7	KEGG_Module	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.0
7	KEGG_Class	M00045	Pathway modules; Amino acid metabolism; Histidine metabolism	0.0
7	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00340 Histidine metabolism [PATH:ko00340]!!!Enzymes>>>4. Lyases>>>4.3  Carbon-nitrogen lyases>>>4.3.1  Ammonia-lyases>>>4.3.1.3  histidine ammonia-lyase	0.0
7	Pfam	PF00221.25	Aromatic amino acid lyase	2.4e-187
8	prodigal	WP_000884334.1	serine--tRNA ligase (serS)	0
8	GENBANK_LOCUS_TAG	SAUSA300_RS00050	SAUSA300_RS00050	0
8	COG24_FUNCTION	COG0172	Seryl-tRNA synthetase (SerS) (PDB:1SER)	4.26e-311
8	COG24_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
8	COG24_PATHWAY	COG0172	Aminoacyl-tRNA synthetases	4.26e-311
8	KOfam	K01875	seryl-tRNA synthetase [EC:6.1.1.11]	5e-186
8	KEGG_BRITE	ko00001!!!ko01000!!!ko01007!!!ko03016!!!ko03016	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.11  serine---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class II (C/G)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs	0.0
8	Pfam	PF02403.28	Seryl-tRNA synthetase N-terminal domain	1.9e-34
8	Pfam	PF00587.31	tRNA synthetase class II core domain (G, H, P, S and T)	9.4e-42
9	prodigal	WP_000207105.1	AzlC family ABC transporter permease	0
9	GENBANK_LOCUS_TAG	SAUSA300_RS00055	SAUSA300_RS00055	0
9	COG24_FUNCTION	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance) (AzlC)	1.63e-143
9	COG24_CATEGORY	E	Amino acid transport and metabolism	0
9	KOfam	K26605	branched chain amino acid efflux pump	8e-60
9	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]	0.0
9	Pfam	PF03591.20	AzlC protein	3e-40
10	prodigal	WP_000628050.1	AzlD domain-containing protein	0
10	GENBANK_LOCUS_TAG	SAUSA300_RS00060	SAUSA300_RS00060	0
10	COG24_FUNCTION	COG4392	Branched-chain amino acid transport protein (AzlD2)	4.82e-61
10	COG24_CATEGORY	E	Amino acid transport and metabolism	0
10	KOfam	K26606	branched chain amino acid efflux pump	3.4e-23
10	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]	0.0
10	Pfam	PF05437.18	Branched-chain amino acid transport protein (AzlD)	1.3e-25
11	prodigal	WP_000186481.1	homoserine O-acetyltransferase MetX (metX)	0
11	GENBANK_LOCUS_TAG	SAUSA300_RS00065	SAUSA300_RS00065	0
11	COG24_FUNCTION	COG2021	Homoserine O-acetyltransferase (MET2) (PDB:2VAT)	2.43e-245
11	COG24_CATEGORY	E	Amino acid transport and metabolism	0
11	COG24_PATHWAY	COG2021	Methionine biosynthesis	2.43e-245
11	KOfam	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	3.7e-81
11	KEGG_Module	M00017	Methionine biosynthesis, aspartate => homoserine => methionine	0.0
11	KEGG_Class	M00017	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0.0
