gene_callers_id	source	accession	function	e_value
0	prodigal	WP_001290433.1	chromosomal replication initiator protein DnaA (dnaA)	0
0	GENBANK_LOCUS_TAG	SAUSA300_RS00010	SAUSA300_RS00010	0
1	prodigal	WP_000969811.1	DNA polymerase III subunit beta (dnaN)	0
1	GENBANK_LOCUS_TAG	SAUSA300_RS00015	SAUSA300_RS00015	0
2	prodigal	WP_001789359.1	S4 domain-containing protein YaaA (yaaA)	0
2	GENBANK_LOCUS_TAG	SAUSA300_RS00020	SAUSA300_RS00020	0
3	prodigal	WP_000775114.1	DNA replication/repair protein RecF (recF)	0
3	GENBANK_LOCUS_TAG	SAUSA300_RS00025	SAUSA300_RS00025	0
4	prodigal	WP_000255586.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
4	GENBANK_LOCUS_TAG	SAUSA300_RS00030	SAUSA300_RS00030	0
5	prodigal	WP_000819066.1	DNA gyrase subunit A (gyrA)	0
5	GENBANK_LOCUS_TAG	SAUSA300_RS00035	SAUSA300_RS00035	0
6	prodigal	WP_000449218.1	NAD(P)H-hydrate dehydratase	0
6	GENBANK_LOCUS_TAG	SAUSA300_RS00040	SAUSA300_RS00040	0
7	prodigal	WP_000177464.1	histidine ammonia-lyase (hutH)	0
7	GENBANK_LOCUS_TAG	SAUSA300_RS00045	SAUSA300_RS00045	0
8	prodigal	WP_000884334.1	serine--tRNA ligase (serS)	0
8	GENBANK_LOCUS_TAG	SAUSA300_RS00050	SAUSA300_RS00050	0
9	prodigal	WP_000207105.1	AzlC family ABC transporter permease	0
9	GENBANK_LOCUS_TAG	SAUSA300_RS00055	SAUSA300_RS00055	0
10	prodigal	WP_000628050.1	AzlD domain-containing protein	0
10	GENBANK_LOCUS_TAG	SAUSA300_RS00060	SAUSA300_RS00060	0
11	prodigal	WP_000186481.1	homoserine O-acetyltransferase MetX (metX)	0
11	GENBANK_LOCUS_TAG	SAUSA300_RS00065	SAUSA300_RS00065	0
12	prodigal	WP_001791710.1	YybS family protein	0
12	GENBANK_LOCUS_TAG	SAUSA300_RS00070	SAUSA300_RS00070	0
13	prodigal	WP_001081634.1	cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
13	GENBANK_LOCUS_TAG	SAUSA300_RS00075	SAUSA300_RS00075	0
14	prodigal	WP_000864305.1	50S ribosomal protein L9 (rplI)	0
14	GENBANK_LOCUS_TAG	SAUSA300_RS00080	SAUSA300_RS00080	0
15	prodigal	WP_000375647.1	replicative DNA helicase (dnaB)	0
15	GENBANK_LOCUS_TAG	SAUSA300_RS00085	SAUSA300_RS00085	0
16	prodigal	WP_000095327.1	adenylosuccinate synthase	0
16	GENBANK_LOCUS_TAG	SAUSA300_RS00090	SAUSA300_RS00090	0
17	prodigal	WP_000101976.1	response regulator YycF (yycF)	0
17	GENBANK_LOCUS_TAG	SAUSA300_RS00105	SAUSA300_RS00105	0
18	prodigal	WP_000871607.1	cell wall metabolism sensor histidine kinase WalK (walK)	0
18	GENBANK_LOCUS_TAG	SAUSA300_RS00110	SAUSA300_RS00110	0
19	prodigal	WP_001060131.1	two-component system activity regulator YycH (yycH)	0
19	GENBANK_LOCUS_TAG	SAUSA300_RS00115	SAUSA300_RS00115	0
20	prodigal	WP_001104172.1	two-component system regulatory protein YycI	0
20	GENBANK_LOCUS_TAG	SAUSA300_RS00120	SAUSA300_RS00120	0
21	prodigal	WP_000088648.1	MBL fold metallo-hydrolase	0
21	GENBANK_LOCUS_TAG	SAUSA300_RS00125	SAUSA300_RS00125	0
22	prodigal	WP_000645780.1	LPXTG-anchored adenosine synthase AdsA (adsA)	0
22	GENBANK_LOCUS_TAG	SAUSA300_RS00130	SAUSA300_RS00130	0
23	prodigal	WP_000704775.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH (rlmH)	0
23	GENBANK_LOCUS_TAG	SAUSA300_RS00135	SAUSA300_RS00135	0
24	prodigal	WP_000566670.1	MrcB family domain-containing protein	0
24	GENBANK_LOCUS_TAG	SAUSA300_RS00140	SAUSA300_RS00140	0
25	prodigal	WP_001106057.1	IS6-like element IS257 family transposase	0
25	GENBANK_LOCUS_TAG	SAUSA300_RS00145	SAUSA300_RS00145	0
26	prodigal	WP_020444595.1	hydroxymethylglutaryl-CoA synthase	0
26	GENBANK_LOCUS_TAG	SAUSA300_RS14955	SAUSA300_RS14955	0
27	prodigal	WP_000958858.1	glycerophosphoryl diester phosphodiesterase	0
27	GENBANK_LOCUS_TAG	SAUSA300_RS00155	SAUSA300_RS00155	0
28	prodigal	WP_000872606.1	MaoC family dehydratase	0
28	GENBANK_LOCUS_TAG	SAUSA300_RS00160	SAUSA300_RS00160	0
29	prodigal	WP_001801873.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA (mecA)	0
29	GENBANK_LOCUS_TAG	SAUSA300_RS00165	SAUSA300_RS00165	0
30	prodigal	WP_001549960.1	beta-lactam sensor/signal transducer MecR1	0
30	GENBANK_LOCUS_TAG	SAUSA300_RS00170	SAUSA300_RS00170	0
31	prodigal	WP_001092189.1	DUF1643 domain-containing protein	0
31	GENBANK_LOCUS_TAG	SAUSA300_RS00185	SAUSA300_RS00185	0
32	prodigal	WP_000700851.1	DUF960 family protein	0
32	GENBANK_LOCUS_TAG	SAUSA300_RS00190	SAUSA300_RS00190	0
33	prodigal	WP_000849672.1	SAUGI family uracil-DNA glycosylase inhibitor	0
33	GENBANK_LOCUS_TAG	SAUSA300_RS00195	SAUSA300_RS00195	0
34	prodigal	WP_001186608.1	cassette chromosome recombinase CcrB (ccrB)	0
34	GENBANK_LOCUS_TAG	SAUSA300_RS00200	SAUSA300_RS00200	0
35	prodigal	WP_000815640.1	cassette chromosome recombinase CcrA (ccrA)	0
35	GENBANK_LOCUS_TAG	SAUSA300_RS00205	SAUSA300_RS00205	0
36	prodigal	WP_000122620.1	cassette chromosome replicative helicase (cch1)	0
36	GENBANK_LOCUS_TAG	SAUSA300_RS00210	SAUSA300_RS00210	0
37	prodigal	WP_001036438.1	cassette chromosome ssDNA-binding protein (ssb)	0
37	GENBANK_LOCUS_TAG	SAUSA300_RS00215	SAUSA300_RS00215	0
38	GENBANK_LOCUS_TAG	SAUSA300_RS00220	SAUSA300_RS00220	0
39	prodigal	WP_000554504.1	RNA-binding domain-containing protein	0
39	GENBANK_LOCUS_TAG	SAUSA300_RS00225	SAUSA300_RS00225	0
40	GENBANK_LOCUS_TAG	SAUSA300_RS15865	SAUSA300_RS15865	0
41	prodigal	WP_001549968.1	HNH endonuclease	0
41	GENBANK_LOCUS_TAG	SAUSA300_RS00240	SAUSA300_RS00240	0
42	GENBANK_LOCUS_TAG	SAUSA300_RS00245	SAUSA300_RS00245	0
43	GENBANK_LOCUS_TAG	SAUSA300_RS15870	SAUSA300_RS15870	0
44	prodigal	WP_000027972.1	HNH endonuclease	0
44	GENBANK_LOCUS_TAG	SAUSA300_RS00250	SAUSA300_RS00250	0
45	GENBANK_LOCUS_TAG	SAUSA300_RS00255	SAUSA300_RS00255	0
46	GENBANK_LOCUS_TAG	SAUSA300_RS00260	SAUSA300_RS00260	0
47	GENBANK_LOCUS_TAG	SAUSA300_RS00265	SAUSA300_RS00265	0
48	prodigal	WP_000776433.1	GNAT family N-acetyltransferase	0
48	GENBANK_LOCUS_TAG	SAUSA300_RS00275	SAUSA300_RS00275	0
49	GENBANK_LOCUS_TAG	SAUSA300_RS16055	SAUSA300_RS16055	0
50	prodigal	WP_000857159.1	zinc-dependent alcohol dehydrogenase family protein	0
50	GENBANK_LOCUS_TAG	SAUSA300_RS00280	SAUSA300_RS00280	0
51	GENBANK_LOCUS_TAG	SAUSA300_RS00285	SAUSA300_RS00285	0
52	prodigal	WP_001092187.1	DUF1643 domain-containing protein	0
52	GENBANK_LOCUS_TAG	SAUSA300_RS00290	SAUSA300_RS00290	0
53	prodigal	WP_000700852.1	DUF960 family protein	0
53	GENBANK_LOCUS_TAG	SAUSA300_RS00295	SAUSA300_RS00295	0
54	prodigal	WP_000859159.1	SAUGI family uracil-DNA glycosylase inhibitor	0
54	GENBANK_LOCUS_TAG	SAUSA300_RS00300	SAUSA300_RS00300	0
55	prodigal	WP_000036757.1	carbamate kinase (arcC)	0
55	GENBANK_LOCUS_TAG	SAUSA300_RS00310	SAUSA300_RS00310	0
56	prodigal	WP_000793596.1	ornithine carbamoyltransferase (argF)	0
56	GENBANK_LOCUS_TAG	SAUSA300_RS00315	SAUSA300_RS00315	0
57	prodigal	WP_000272781.1	Crp/Fnr family transcriptional regulator	0
57	GENBANK_LOCUS_TAG	SAUSA300_RS00320	SAUSA300_RS00320	0
58	prodigal	WP_000344142.1	arginine-ornithine antiporter (arcD)	0
58	GENBANK_LOCUS_TAG	SAUSA300_RS00325	SAUSA300_RS00325	0
59	prodigal	WP_000249804.1	arginine deiminase (arcA)	0
59	GENBANK_LOCUS_TAG	SAUSA300_RS00330	SAUSA300_RS00330	0
60	prodigal	WP_000711814.1	arginine repressor	0
60	GENBANK_LOCUS_TAG	SAUSA300_RS00335	SAUSA300_RS00335	0
61	prodigal	WP_000475805.1	universal stress protein	0
61	GENBANK_LOCUS_TAG	SAUSA300_RS00340	SAUSA300_RS00340	0
62	prodigal	WP_000558975.1	alpha/beta hydrolase	0
62	GENBANK_LOCUS_TAG	SAUSA300_RS00355	SAUSA300_RS00355	0
63	prodigal	WP_076035539.1	IS110-like element ISSep2 family transposase	0
63	GENBANK_LOCUS_TAG	SAUSA300_RS00360	SAUSA300_RS00360	0
64	prodigal	WP_000169584.1	class I SAM-dependent methyltransferase	0
64	GENBANK_LOCUS_TAG	SAUSA300_RS00365	SAUSA300_RS00365	0
65	prodigal	WP_001224176.1	ABC transporter substrate-binding protein	0
65	GENBANK_LOCUS_TAG	SAUSA300_RS00370	SAUSA300_RS00370	0
66	prodigal	WP_000920052.1	ABC transporter permease	0
66	GENBANK_LOCUS_TAG	SAUSA300_RS00375	SAUSA300_RS00375	0
67	prodigal	WP_000760756.1	ABC transporter permease	0
67	GENBANK_LOCUS_TAG	SAUSA300_RS00380	SAUSA300_RS00380	0
68	prodigal	WP_000073898.1	ATP-binding cassette domain-containing protein	0
68	GENBANK_LOCUS_TAG	SAUSA300_RS00385	SAUSA300_RS00385	0
69	prodigal	WP_000912324.1	ABC transporter ATP-binding protein	0
69	GENBANK_LOCUS_TAG	SAUSA300_RS00390	SAUSA300_RS00390	0
70	prodigal	WP_001063476.1	heavy metal translocating P-type ATPase	0
70	GENBANK_LOCUS_TAG	SAUSA300_RS00395	SAUSA300_RS00395	0
71	prodigal	WP_000592150.1	YdhK family protein	0
71	GENBANK_LOCUS_TAG	SAUSA300_RS00400	SAUSA300_RS00400	0
72	GENBANK_LOCUS_TAG	SAUSA300_RS00405	SAUSA300_RS00405	0
73	GENBANK_LOCUS_TAG	SAUSA300_RS00410	SAUSA300_RS00410	0
74	prodigal	WP_000700191.1	DUF6119 family protein	0
74	GENBANK_LOCUS_TAG	SAUSA300_RS00415	SAUSA300_RS00415	0
75	GENBANK_LOCUS_TAG	SAUSA300_RS00425	SAUSA300_RS00425	0
76	prodigal	WP_000355845.1	sulfite exporter TauE/SafE family protein	0
76	GENBANK_LOCUS_TAG	SAUSA300_RS00430	SAUSA300_RS00430	0
77	prodigal	WP_001105087.1	persulfide-sensing transcriptional repressor CstR (cstR)	0
77	GENBANK_LOCUS_TAG	SAUSA300_RS00435	SAUSA300_RS00435	0
78	prodigal	WP_000816129.1	persulfide response sulfurtransferase CstA (cstA)	0
78	GENBANK_LOCUS_TAG	SAUSA300_RS00440	SAUSA300_RS00440	0
79	prodigal	WP_000465472.1	persulfide dioxygenase-sulfurtransferase CstB (cstB)	0
79	GENBANK_LOCUS_TAG	SAUSA300_RS00445	SAUSA300_RS00445	0
80	prodigal	WP_000662031.1	tRNA dihydrouridine synthase	0
80	GENBANK_LOCUS_TAG	SAUSA300_RS00460	SAUSA300_RS00460	0
81	prodigal	WP_000398679.1	DUF6007 family protein	0
81	GENBANK_LOCUS_TAG	SAUSA300_RS00465	SAUSA300_RS00465	0
82	prodigal	WP_000201638.1	TfoX/Sxy family protein	0
82	GENBANK_LOCUS_TAG	SAUSA300_RS00470	SAUSA300_RS00470	0
83	prodigal	WP_000130765.1	MFS transporter	0
83	GENBANK_LOCUS_TAG	SAUSA300_RS00475	SAUSA300_RS00475	0
84	prodigal	WP_001052510.1	LysR family transcriptional regulator	0
84	GENBANK_LOCUS_TAG	SAUSA300_RS00485	SAUSA300_RS00485	0
85	prodigal	WP_000543163.1	DUF4865 family protein	0
