Geneid,start,end,strand,seqname,source,feature,score,ID,Parent,Dbxref,Name,Ontology_term,gbkey,gene,go_function,go_process,inference,product,protein_id,transl_table,go_component,Note,partial,pseudo,start_range,end_range,exception
SAUSA300_RS00010,544,1905,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001290433.1,gene-SAUSA300_RS00010,GenBank:WP_001290433.1,WP_001290433.1,GO:0006270!!!GO:0006275!!!GO:0003677!!!GO:0003688!!!GO:0005524,CDS,dnaA,DNA binding|0003677||IEA!!!DNA replication origin binding|0003688||IEA!!!ATP binding|0005524||IEA,DNA replication initiation|0006270||IEA!!!regulation of DNA replication|0006275||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498609.1,chromosomal replication initiator protein DnaA,WP_001290433.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00015,2183,3316,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000969811.1,gene-SAUSA300_RS00015,GenBank:WP_000969811.1,WP_000969811.1,GO:0006260!!!GO:0003677!!!GO:0003887!!!GO:0009360,CDS,dnaN,DNA binding|0003677||IEA!!!DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_000969809.1,DNA polymerase III subunit beta,WP_000969811.1,11,DNA polymerase III complex|0009360||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00020,3697,3942,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001789359.1,gene-SAUSA300_RS00020,GenBank:WP_001789359.1,WP_001789359.1,GO:0003723,CDS,yaaA,RNA binding|0003723||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498611.1,S4 domain-containing protein YaaA,WP_001789359.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00025,3939,5051,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000775114.1,gene-SAUSA300_RS00025,GenBank:WP_000775114.1,WP_000775114.1,GO:0006260!!!GO:0006281!!!GO:0006310!!!GO:0009432!!!GO:0003697!!!GO:0005524,CDS,recF,single-stranded DNA binding|0003697||IEA!!!ATP binding|0005524||IEA,DNA replication|0006260||IEA!!!DNA repair|0006281||IEA!!!DNA recombination|0006310||IEA!!!SOS response|0009432||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498612.1,DNA replication/repair protein RecF,WP_000775114.1,11,NA,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,NA,NA,NA,NA,NA
SAUSA300_RS00030,5061,6995,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000255586.1,gene-SAUSA300_RS00030,GenBank:WP_000255586.1,WP_000255586.1,GO:0006265!!!GO:0003677!!!GO:0003918!!!GO:0005524!!!GO:0005694,CDS,gyrB,DNA binding|0003677||IEA!!!DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA!!!ATP binding|0005524||IEA,DNA topological change|0006265||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498613.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_000255586.1,11,chromosome|0005694||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00035,7032,9695,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000819066.1,gene-SAUSA300_RS00035,GenBank:WP_000819066.1,WP_000819066.1,GO:0006259!!!GO:0006265!!!GO:0003677!!!GO:0003916!!!GO:0003918!!!GO:0005524,CDS,gyrA,DNA binding|0003677||IEA!!!DNA topoisomerase activity|0003916||IEA!!!DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA!!!ATP binding|0005524||IEA,DNA metabolic process|0006259||IEA!!!DNA topological change|0006265||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498614.1,DNA gyrase subunit A,WP_000819066.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00040,9782,10594,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000449218.1,gene-SAUSA300_RS00040,GenBank:WP_000449218.1,WP_000449218.1,GO:0016836,CDS,NA,hydro-lyase activity|0016836||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002461649.1,NAD(P)H-hydrate dehydratase,WP_000449218.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00045,10920,12434,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000177464.1,gene-SAUSA300_RS00045,GenBank:WP_000177464.1,WP_000177464.1,GO:0006548!!!GO:0004397!!!GO:0005737,CDS,hutH,histidine ammonia-lyase activity|0004397||IEA,L-histidine catabolic process|0006548||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498616.1,histidine ammonia-lyase,WP_000177464.1,11,cytoplasm|0005737||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00050,12813,14099,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000884334.1,gene-SAUSA300_RS00050,GenBank:WP_000884334.1,WP_000884334.1,GO:0006434!!!GO:0000166!!!GO:0004828!!!GO:0005524,CDS,serS,nucleotide binding|0000166||IEA!!!serine-tRNA ligase activity|0004828||IEA!!!ATP binding|0005524||IEA,seryl-tRNA aminoacylation|0006434||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498617.1,serine--tRNA ligase,WP_000884334.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00055,14749,15444,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000207105.1,gene-SAUSA300_RS00055,GenBank:WP_000207105.1,WP_000207105.1,GO:0055085!!!GO:0042626!!!GO:0140359!!!GO:0016020!!!GO:1902495,CDS,NA,ATPase-coupled transmembrane transporter activity|0042626||IEA!!!ABC-type transporter activity|0140359||IEA,transmembrane transport|0055085||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498618.1,AzlC family ABC transporter permease,WP_000207105.1,11,membrane|0016020||IEA!!!transmembrane transporter complex|1902495||IEA,NA,NA,NA,NA,NA,NA
